file,group,time,channel,n_cells,mean_cell_intensity,median_cell_intensity,mean_nonzero_pixels,fold_change
TAMO_p2,Chemoresistant,1,pHrodo,300,10.80521297454834,9.527427673339844,1953.5833333333333,0.01550145856522863
TAMO_p2,Chemoresistant,1,TMRM,300,7.623195171356201,5.154590606689453,1759.3333333333333,0.03865529555966082
TAMO_p2,Chemoresistant,1,Lyso,300,5.252084255218506,3.931069850921631,1603.3333333333333,0.0021757808533410428
TAMO_p2,Chemoresistant,1,Tubulin,300,16.357528686523438,7.112504959106445,3189.8333333333335,0.0576261472205134
TAMO_p2,Chemoresistant,2,LipiBlue,550,4.455650806427002,2.934422016143799,733.0,0.008737023484434898
TAMO_p2,Chemoresistant,2,342,550,8.103352546691895,3.4401183128356934,961.7727272727273,0.03231590624941811
TAMO_p2,Chemoresistant,2,BODIPY,550,4.860037326812744,3.7704999446868896,909.9090909090909,0.020668791917411895
TAMO_p2,Chemoresistant,2,pHrodo,550,9.123208045959473,6.6574320793151855,995.2272727272727,0.013088407589884894
TAMO_p2,Chemoresistant,2,TMRM,550,6.9968366622924805,4.500018119812012,902.8636363636364,0.03547918990449639
TAMO_p2,Chemoresistant,2,Lyso,550,4.498541355133057,3.2723817825317383,805.0454545454545,0.001863610649188674
TAMO_p2,Chemoresistant,2,Tubulin,550,9.0878324508667,4.733676910400391,1477.5,0.03201564128452144
TAMO_p2,Chemoresistant,3,LipiBlue,475,3.783600330352783,2.2365872859954834,765.2631578947369,0.007419209084860204
TAMO_p2,Chemoresistant,3,342,475,8.210817337036133,2.3759925365448,1130.7368421052631,0.03274447233609239
TAMO_p2,Chemoresistant,3,BODIPY,475,3.9999680519104004,2.7076499462127686,958.8421052631579,0.017011084850134302
TAMO_p2,Chemoresistant,3,pHrodo,475,6.541952610015869,3.043030261993408,1058.157894736842,0.009385266866902199
TAMO_p2,Chemoresistant,3,TMRM,475,5.623304843902588,2.207648754119873,1012.2105263157895,0.028514357284185297
TAMO_p2,Chemoresistant,3,Lyso,475,3.841949939727783,1.8797580003738403,893.2105263157895,0.001591604534913675
TAMO_p2,Chemoresistant,3,Tubulin,475,7.755793571472168,2.808803081512451,1604.6315789473683,0.027322984463404087
TAMO_p2,Chemoresistant,4,LipiBlue,425,5.323866844177246,3.2035491466522217,1061.764705882353,0.010439496196265257
TAMO_p2,Chemoresistant,4,342,425,13.058721542358398,3.624317169189453,1465.8235294117646,0.052077756541937616
TAMO_p2,Chemoresistant,4,BODIPY,425,6.437034606933594,4.354099750518799,1293.0588235294117,0.02737545411881482
TAMO_p2,Chemoresistant,4,pHrodo,425,14.76375675201416,5.7540283203125,1400.1176470588234,0.021180495386582447
TAMO_p2,Chemoresistant,4,TMRM,425,11.26284122467041,4.414071083068848,1314.8235294117646,0.057111020588459224
TAMO_p2,Chemoresistant,4,Lyso,425,6.640383720397949,3.3439888954162598,1193.235294117647,0.0027509116487085617
TAMO_p2,Chemoresistant,4,Tubulin,425,13.012980461120605,4.8982625007629395,2191.9411764705883,0.045843595459992344
TAMO_p2,Chemoresistant,5,LipiBlue,400,8.15395736694336,6.126171588897705,601.5625,0.015988981206360216
TAMO_p2,Chemoresistant,5,342,400,26.771713256835938,11.757669448852539,1003.875,0.10676472123842162
TAMO_p2,Chemoresistant,5,BODIPY,400,10.816301345825195,8.945911407470703,701.9375,0.04599962238962797
TAMO_p2,Chemoresistant,5,pHrodo,400,41.155357360839844,13.921499252319336,785.8125,0.05904261844435354
TAMO_p2,Chemoresistant,5,TMRM,400,23.191064834594727,9.914549827575684,709.375,0.11759602704295341
TAMO_p2,Chemoresistant,5,Lyso,400,14.515893936157227,6.872452735900879,676.8125,0.006013499129234029
TAMO_p2,Chemoresistant,5,Tubulin,400,21.87936019897461,11.411850929260254,1206.6875,0.07707907814678101
TAMO_p2,Chemoresistant,6,LipiBlue,250,10.318269729614258,3.2065019607543945,920.8,0.020232951113748922
TAMO_p2,Chemoresistant,6,342,250,10.1708402633667,3.550198554992676,1430.0,0.0405609799814208
TAMO_p2,Chemoresistant,6,BODIPY,250,5.98004150390625,3.533803939819336,1179.1,0.02543195148313466
TAMO_p2,Chemoresistant,6,pHrodo,250,40.06285858154297,5.545548439025879,1327.9,0.05747528935979736
TAMO_p2,Chemoresistant,6,TMRM,250,9.850179672241211,4.2443108558654785,1320.6,0.04994777097888571
TAMO_p2,Chemoresistant,6,Lyso,250,50.29443359375,3.2888474464416504,1114.4,0.020835474132804278
TAMO_p2,Chemoresistant,6,Tubulin,250,41.48664474487305,4.1465535163879395,1976.9,0.1461538318879944
CNTL-MB231,Control,0,LipiBlue,325,21.735429763793945,20.173084259033203,5944.923076923077,1.0
CNTL-MB231,Control,0,342,325,65.65924835205078,55.725833892822266,6425.2307692307695,1.0
CNTL-MB231,Control,0,BODIPY,325,23.040618896484375,23.051237106323242,8238.076923076924,1.0
CNTL-MB231,Control,0,pHrodo,325,19.34840965270996,20.506303787231445,5839.384615384615,1.0
CNTL-MB231,Control,0,TMRM,325,19.41929054260254,20.02267074584961,5604.846153846154,1.0
CNTL-MB231,Control,0,Lyso,325,15.054645538330078,15.495887756347656,5937.307692307692,1.0
CNTL-MB231,Control,0,Tubulin,325,50.14081573486328,50.766334533691406,10484.384615384615,1.0
CNTL-MB231,Control,1,LipiBlue,300,19.288190841674805,18.460838317871094,5922.166666666667,0.8874078429221741
CNTL-MB231,Control,1,342,300,54.056640625,59.76525115966797,6219.166666666667,0.8232905794955176
CNTL-MB231,Control,1,BODIPY,300,20.560129165649414,21.54113006591797,8206.833333333334,0.8923427473029623
CNTL-MB231,Control,1,pHrodo,300,17.14801025390625,17.579193115234375,5777.166666666667,0.8862749219031798
CNTL-MB231,Control,1,TMRM,300,17.4612979888916,17.49932098388672,5627.5,0.8991728070901744
CNTL-MB231,Control,1,Lyso,300,13.489684104919434,13.629134178161621,5823.25,0.8960479388620507
CNTL-MB231,Control,1,Tubulin,300,40.98122787475586,41.213050842285156,10418.333333333334,0.8173227195077584
CNTL-MB231,Control,2,LipiBlue,425,15.046043395996094,13.707356452941895,4070.764705882353,0.6922358361213184
CNTL-MB231,Control,2,342,425,37.358428955078125,16.253780364990234,4384.176470588235,0.5689743622219106
CNTL-MB231,Control,2,BODIPY,425,18.753416061401367,19.626874923706055,5577.823529411765,0.813928486281366
CNTL-MB231,Control,2,pHrodo,425,15.933357238769531,16.52250099182129,3961.3529411764707,0.8234969966401289
CNTL-MB231,Control,2,TMRM,425,15.905780792236328,15.020489692687988,3876.176470588235,0.8190711579983737
CNTL-MB231,Control,2,Lyso,425,12.581811904907227,13.009136199951172,3974.3529411764707,0.8357428192429466
CNTL-MB231,Control,2,Tubulin,425,42.137481689453125,41.953521728515625,7143.058823529412,0.8403828512138589
